"submission_id","age","cups","where_drink","brew","brew_other","purchase","purchase_other","favorite","favorite_specify","additions","additions_other","dairy","sweetener","style","strength","roast_level","caffeine","expertise","coffee_a_bitterness","coffee_a_acidity","coffee_a_personal_preference","coffee_a_notes","coffee_b_bitterness","coffee_b_acidity","coffee_b_personal_preference","coffee_b_notes","coffee_c_bitterness","coffee_c_acidity","coffee_c_personal_preference","coffee_c_notes","coffee_d_bitterness","coffee_d_acidity","coffee_d_personal_preference","coffee_d_notes","prefer_abc","prefer_ad","prefer_overall","wfh","total_spend","why_drink","why_drink_other","taste","know_source","most_paid","most_willing","value_cafe","spent_equipment","value_equipment","gender","gender_specify","education_level","ethnicity_race","ethnicity_race_specify","employment_status","number_children","political_affiliation"
"gMR29l","18-24 years old","NA","NA","NA","NA","NA","NA","Regular drip coffee","NA","No - just black","NA","NA","NA","Complex","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA"
"BkPN0e","25-34 years old","NA","NA","Pod/capsule machine (e.g. Keurig/Nespresso)","NA","NA","NA","Iced coffee","NA","Sugar or sweetener, No - just black","NA","NA","NA","Light","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA"
"W5G8jj","25-34 years old","NA","NA","Bean-to-cup machine","NA","NA","NA","Regular drip coffee","NA","No - just black","NA","NA","NA","Complex","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA"
"4xWgGr","35-44 years old","NA","NA","Coffee brewing machine (e.g. Mr. Coffee)","NA","NA","NA","Iced coffee","NA","No - just black, Cinnamon","NA","NA","NA","Complex","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA"
"QD27Q8","25-34 years old","NA","NA","Pour over","NA","NA","NA","Latte","NA","No - just black","NA","NA","NA","Sweet","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA"
"V0LPeM","55-64 years old","NA","NA","Pod/capsule machine (e.g. Keurig/Nespresso), Espresso, French press","NA","NA","NA","Iced coffee","NA","Half & half","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA"
"V0Gaxg","18-24 years old","NA","At a cafe, At the office, At home, On the go","Pour over, French press, Espresso, Instant coffee, Pod/capsule machine (e.g. Keurig/Nespresso)","NA","National chain (e.g. Starbucks, Dunkin), Local cafe, Drive-thru, Specialty coffee shop, Other","NA","Pourover","NA","No - just black","NA","NA","NA","Complex","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA"
"AdzRL0","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA"
"LbWda2","25-34 years old","Less than 1","At a cafe","NA","NA","NA","NA","Regular drip coffee","NA","No - just black","NA","NA","NA","Light","NA","NA","NA","NA","4","4","4","NA","4","4","4","NA","4","4","4","NA","4","4","4","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA"
"EXQLWN","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA"
"2eNLJg","18-24 years old","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA"
"xpa2K9","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA"
"V00RoJ","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA"
"7WWB4A","<18 years old","2","On the go, At a cafe, At home, At the office","Pour over, Coffee brewing machine (e.g. Mr. Coffee), Espresso, Bean-to-cup machine","NA","Local cafe, Specialty coffee shop","NA","Other","cortado","Milk, dairy alternative, or coffee creamer, Sugar or sweetener, Flavor syrup","NA","NA","NA","Full Bodied","Somewhat light","Light","Full caffeine","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA"
"pKL8aB","25-34 years old","1","At the office","NA","NA","NA","NA","Pourover","NA","No - just black","NA","NA","NA","Fruity","Somewhat strong","Light","Full caffeine","7","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA"
"Zd694B","<18 years old","3","At home, At the office, At a cafe","Pour over, Espresso, Instant coffee","NA","NA","NA","Pourover","NA","No - just black, Milk, dairy alternative, or coffee creamer","NA","Whole milk","NA","Bright","Medium","Light","Full caffeine","10","1","1","1","a","1","1","1","b","1","1","1","c","1","1","1","d","Coffee A","Coffee D","Coffee B","I primarily work from home",">$100","NA","NA","NA","NA","NA","NA","NA","NA","NA","Other (please specify)","Cis","Bachelor's degree","Other (please specify)","Alaskan native","Employed full-time","More than 3","Democrat"
"QAeYZY",">65 years old","3","At the office, At a cafe","NA","NA","NA","NA","Cortado","NA","No - just black","NA","NA","NA","Fruity","Somewhat strong","Blonde","Full caffeine","7","3","3","3","NA","3","3","3","NA","3","3","3","NA","3","3","3","NA","Coffee C","Coffee D","Coffee D","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA"
"QA5JYA","25-34 years old","1","At home, At the office, On the go","Pour over, Coffee brewing machine (e.g. Mr. Coffee)","NA","National chain (e.g. Starbucks, Dunkin), Local cafe, Specialty coffee shop","NA","Regular drip coffee","NA","Milk, dairy alternative, or coffee creamer, Sugar or sweetener","NA","Half and half","Granulated Sugar, Brown Sugar","Sweet","Somewhat strong","Medium","Full caffeine","6","3","3","3","NA","3","3","3","NA","3","3","3","NA","3","3","3","NA","Coffee A","Coffee A","Coffee B","I primarily work from home","$40-$60","NA","NA","NA","NA","NA","NA","NA","NA","NA","Female","NA","Bachelor's degree","White/Caucasian","NA","Employed full-time","None","Democrat"
"Rz5BPj","25-34 years old","2","At a cafe","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA"
"jyDqva","18-24 years old","2","At the office","NA","NA","NA","NA","Iced coffee","NA","Milk, dairy alternative, or coffee creamer","NA","Oat milk","NA","Nutty","Somewhat strong","Nordic","Full caffeine","4","4","4","4","NA","4","4","4","NA","NA","4","4","NA","4","4","4","NA","NA","Coffee D","Coffee A","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA"
"eB7QoJ","18-24 years old","3","At home","Pour over","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA"
"24xzlg","18-24 years old","NA","At home","Other","Aeropress","NA","NA","Pourover","NA","No - just black","NA","NA","NA","Bright","Somewhat light","Light","Full caffeine","6","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA"
"DVvoqX","35-44 years old","NA","At the office, On the go, At home","Espresso","NA","Local cafe","NA","Cappuccino","NA","Milk, dairy alternative, or coffee creamer","NA","Oat milk","NA","Caramalized","Somewhat strong","Medium","Full caffeine","9","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA"
"1r2YJQ","25-34 years old","More than 4","At the office, At home, At a cafe, On the go","Coffee extract (e.g. Cometeer)","NA","National chain (e.g. Starbucks, Dunkin), Specialty coffee shop, Local cafe","NA","Regular drip coffee","NA","No - just black","NA","NA","NA","Bold","Very strong","NA","Full caffeine","8","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA"
"24xYOV","45-54 years old","1","At home","Pour over","NA","NA","NA","Regular drip coffee","NA","No - just black","NA","NA","NA","Fruity","Medium","Light","Full caffeine","5","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA"
"AlbYao","18-24 years old","2","At the office, At home","Pod/capsule machine (e.g. Keurig/Nespresso), French press","NA","NA","NA","Latte","NA","Flavor syrup, Milk, dairy alternative, or coffee creamer","NA","Whole milk","NA","Full Bodied","Somewhat strong","Medium","Full caffeine","7","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA"
"J2krYz","35-44 years old","1","At home, At a cafe","Pour over, Espresso","NA","NA","NA","Pourover","NA","No - just black","NA","NA","NA","Fruity","NA","Medium","Full caffeine","7","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA"
"WAp6ak","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA"
"aBr18q","25-34 years old","3","At home, On the go","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA"
"42NYWO","18-24 years old","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA"
"6dQ08e","25-34 years old","1","At a cafe, At home, On the go","Espresso, Cold brew, Pour over","NA","Specialty coffee shop","NA","Latte","NA","Milk, dairy alternative, or coffee creamer","NA","Whole milk","NA","Chocolatey","Very strong","Medium","Full caffeine","7","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA"
"J2kj9J","18-24 years old","2","NA","French press, Cold brew","NA","NA","NA","Iced coffee","NA","No - just black","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA"
"8dpDNA","18-24 years old","3","NA","Pour over, Espresso","NA","NA","NA","Pourover","NA","No - just black","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA"
"EPbVlL","<18 years old","NA","At home","Pour over","NA","NA","NA","Regular drip coffee","NA","No - just black","NA","NA","NA","Fruity","Somewhat strong","Light","Full caffeine","7","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA"
"ylqbBg","45-54 years old","2","At home, At the office, At a cafe, On the go","Pour over, French press, Espresso","NA","Local cafe, Specialty coffee shop","NA","Regular drip coffee","NA","No - just black","NA","NA","NA","Floral","Medium","Light","Full caffeine","8","3","3","4","NA","3","3","5","NA","4","3","3","NA","5","2","3","NA","Coffee B","Coffee A","Coffee B","I primarily work from home","$20-$40","It tastes good","NA","Yes","Yes","$4-$6","$8-$10","No","$500-$1000","Yes","Male","NA","Master's degree","Other (please specify)","Mix","Employed full-time","2","No affiliation"
"vNx6A4","18-24 years old","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA"
"KMB2og","NA","NA","NA","NA","NA","NA","NA","NA","NA","No - just black","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA"
"qbEQPO","18-24 years old","3","At the office, At home, At a cafe","Pour over, Cold brew, Other","Mokkapot","NA","NA","Pourover","NA","No - just black","NA","NA","NA","Fruity","Somewhat strong","Light","Full caffeine","8","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA"
"9dJ0O5","25-34 years old","2","At home, At the office, At a cafe","French press, Pod/capsule machine (e.g. Keurig/Nespresso), Other","Moka pot","NA","NA","Cortado","NA","No - just black, Milk, dairy alternative, or coffee creamer","NA","Whole milk","NA","Fruity","Somewhat strong","Light","Full caffeine","5","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA"
"BGboZR","18-24 years old","3","At home, At a cafe, On the go","Pour over, French press, Espresso, Other, Cold brew, Coffee brewing machine (e.g. Mr. Coffee)","Aeropress, moka pot.","Local cafe, Specialty coffee shop","NA","Espresso","NA","No - just black, Milk, dairy alternative, or coffee creamer, Sugar or sweetener","NA","Whole milk","Honey","Full Bodied","Medium","Light","Full caffeine","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA"
"oAVNdO",">65 years old","1","At home","Pod/capsule machine (e.g. Keurig/Nespresso)","NA","NA","NA","Regular drip coffee","NA","No - just black","NA","NA","NA","Full Bodied","Somewhat strong","Dark","NA","2","3","3","3","NA","3","3","3","NA","4","3","NA","NA","4","3","4","NA","Coffee C","Coffee D","Coffee C","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA"
"YZzBdN","25-34 years old","2","At home, At the office","Pour over, Espresso","NA","NA","NA","Pourover","NA","No - just black","NA","NA","NA","Floral","Medium","Light","Full caffeine","10","1","4","4","NA","1","4","4","NA","1","4","4","NA","2","4","4","NA","Coffee A","Coffee A","Coffee A","I do a mix of both","$40-$60","It tastes good, I need the caffeine","NA","Yes","Yes","$2-$4","More than $20","Yes","$50-$100","Yes","Male","NA","Master's degree","Asian/Pacific Islander","NA","Unemployed","None","Independent"
"VZ17Z6","35-44 years old","1","At the office, At home","Pour over","NA","NA","NA","Iced coffee","NA","No - just black","NA","NA","NA","Fruity","Very strong","Light","Full caffeine","6","1","4","3","NA","3","2","4","NA","3","4","1","NA","1","4","5","NA","Coffee A","Coffee D","Coffee D","I primarily work in person","$20-$40","It tastes good","NA","Yes","Yes","$10-$15","More than $20","Yes","$100-$300","Yes","Male","NA","Bachelor's degree","White/Caucasian","NA","Employed full-time","3","No affiliation"
"RzBeZj","45-54 years old","More than 4","At home","Pour over, French press, Pod/capsule machine (e.g. Keurig/Nespresso)","NA","NA","NA","Pourover","NA","No - just black","NA","NA","NA","Full Bodied","Somewhat strong","Dark","Full caffeine","7","2","3","4","NA","3","2","2","NA","2","2","2","NA","3","3","2","NA","Coffee A","Coffee A","Coffee A","I primarily work from home","$40-$60","It tastes good, I need the caffeine, I need the ritual","NA","Yes","Yes","$10-$15","$15-$20","Yes","$300-$500","Yes","Male","NA","Bachelor's degree","White/Caucasian","NA","Employed full-time","3","No affiliation"
"0Ej0GZ","35-44 years old","1","At the office, At a cafe, At home","Pour over, Espresso, Other","Aeropress","NA","NA","Cappuccino","NA","Milk, dairy alternative, or coffee creamer, Sugar or sweetener, No - just black","NA","Skim milk, Oat milk","Granulated Sugar, Brown Sugar","Nutty","Medium","Medium","Full caffeine","8","3","3","2","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA"
"eBxO4l","NA","2","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA"
"WApbkQ","35-44 years old","2","At a cafe, At home","Espresso, Pod/capsule machine (e.g. Keurig/Nespresso)","NA","NA","NA","Cappuccino","NA","Milk, dairy alternative, or coffee creamer","NA","Whole milk","NA","Floral","Somewhat strong","Blonde","Full caffeine","4","3","4","5","NA","2","3","4","NA","2","3","4","NA","1","2","3","NA","Coffee A","Coffee A","Coffee A","I do a mix of both","$60-$80","I need the ritual, It tastes good","NA","Yes","Yes","$6-$8","$4-$6","Yes","More than $1,000","Yes","Male","NA","Less than high school","Black/African American","NA","Unemployed","2","Independent"
"0Ej0WA","45-54 years old","2","At home","Coffee extract (e.g. Cometeer), Pour over","NA","NA","NA","Pourover","NA","No - just black","NA","NA","NA","Fruity","Somewhat light","Light","Full caffeine","8","4","3","3","NA","2","2","4","NA","3","2","3","NA","3","4","5","NA","Coffee B","Coffee D","Coffee D","I primarily work from home",">$100","It tastes good, I need the caffeine","NA","Yes","Yes","$6-$8","$8-$10","No","$100-$300","Yes","Male","NA","Bachelor's degree","White/Caucasian","NA","Employed full-time","More than 3","Republican"
"9dJYlQ","35-44 years old","2","At home, At the office","Other","Aeropress","NA","NA","Latte","NA","Milk, dairy alternative, or coffee creamer","NA","Half and half","NA","Nutty","Somewhat strong","Medium","Full caffeine","2","1","5","2","NA","2","3","3","NA","2","3","4","NA","2","2","5","NA","Coffee C","Coffee D","Coffee D","I primarily work in person","$20-$40","It tastes good, I need the caffeine","NA","Yes","No","$4-$6","$6-$8","Yes","$50-$100","Yes","Male","NA","Bachelor's degree","White/Caucasian","NA","Employed full-time","None","Democrat"
"BGbJzQ","35-44 years old","1","At home, At the office, On the go","Espresso, Pod/capsule machine (e.g. Keurig/Nespresso)","NA","National chain (e.g. Starbucks, Dunkin)","NA","Latte","NA","Milk, dairy alternative, or coffee creamer, Sugar or sweetener, Flavor syrup","NA","Whole milk, Half and half","Brown Sugar","Chocolatey","Medium","Light","Full caffeine","7","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA"
